Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
14,Kyrie Irving,2012-13,20,CLE,NBA,21.4,59,59,2048,0.261,0.271,1.8,10.8,6.1,32.7,2.3,0.8,13.8,30.2,108,110,4.2,1.1,5.3,0.125,4.9,-1.6,3.3,2.8
15,Stephen Curry,2012-13,24,GSW,NBA,21.3,78,78,2983,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,115,107,8.4,2.8,11.2,0.18,6.3,-0.9,5.4,5.6
16,Al Jefferson,2012-13,28,UTA,NBA,20.9,78,78,2578,0.014,0.176,7,25.9,16.3,12,1.6,2.7,7.3,25.3,109,104,4.3,3.3,7.7,0.143,0.5,1,1.5,2.2
17,JaVale McGee,2012-13,25,DEN,NBA,20.7,79,0,1433,0.002,0.353,12.6,17.1,14.9,2.7,1.1,8.5,12.9,21.1,112,102,2.7,2.2,4.9,0.163,-0.5,2,1.5,1.2
18,LaMarcus Aldridge,2012-13,27,POR,NBA,20.4,74,74,2790,0.011,0.264,7.2,20.9,14,13,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,0.124,0.3,0.5,0.8,2
19,Deron Williams,2012-13,28,BRK,NBA,20.3,78,78,2842,0.398,0.328,1.2,8.5,4.8,37.5,1.4,0.8,14.5,24.4,118,109,9.1,1.8,10.9,0.184,5.5,-2,3.5,3.9
20,DeMarcus Cousins,2012-13,22,SAC,NBA,20.2,75,74,2289,0.021,0.408,10.9,27,18.7,15.3,2.4,1.9,15.5,28.1,102,106,2,2.3,4.4,0.092,0,1,1,1.7
1,Kevin Durant,2013-14,25,OKC,NBA,29.8,81,81,3122,0.291,0.477,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,123,104,14.8,4.4,19.2,0.295,8.4,0.4,8.8,8.5
2,LeBron James,2013-14,29,MIA,NBA,29.3,77,77,2902,0.226,0.432,3.6,18.9,11.5,32,2.2,0.8,14.4,31,121,105,12.3,3.7,15.9,0.264,8,0.9,8.9,8
3,Kevin Love,2013-14,25,MIN,NBA,26.9,77,77,2797,0.355,0.445,8.5,29.5,18.7,21.4,1,1,10.3,28.8,120,104,10.6,3.7,14.3,0.245,7.2,1.2,8.4,7.3
